IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,
27866241,0561000,JEFFERSONTOWN POLICE DEPT,Accepted,JEFFERSON,KY1747,,HURSTBOURNE,PKWY,S,,BUNSEN,,,,,38.219018938,-85.584222451,11.453,3/9/2021 12:00:00 AM,1838,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2021 12:04:18 AM,False,8265,Accepted,
27868804,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,LIBERTY,ST,E,,BROOK,,,,,38.252439665,-85.751411622,0.043,3/9/2021 12:00:00 AM,0919,2,2,0,0,CLEAR,DRY,False,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2021 2:24:00 PM,False,5342,Accepted,
27868812,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1531,,ROUTT,RD,,,,,THURMAN,,ROUTT,38.169502803,-85.470390948,5.005,3/9/2021 12:00:00 AM,1150,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & HILLCREST,DAYLIGHT,,,3/10/2021 2:24:21 PM,False,2017,Accepted,
27868813,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1934,,GREENBELT,HWY,,,,,,,,38.161272259,-85.881691151,5.514,3/9/2021 12:00:00 AM,1021,2,2,0,0,CLEAR,DRY,False,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2021 2:24:25 PM,False,7244,Accepted,
27868814,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,US0031W,,DIXIE,HWY,,KY1849,MOORMAN,,,,,38.089520226,-85.877311385,7.248,3/9/2021 12:00:00 AM,1330,2,2,0,0,CLEAR,DRY,False,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2021 2:24:29 PM,False,2936,Accepted,
27868820,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1065,4304,OUTER,LOOP,,,,,,,,38.138140619,-85.680506345,6.402,3/9/2021 12:00:00 AM,1403,3,3,0,0,CLEAR,DRY,True,COLLISION IN PARKING LOT,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2021 2:24:54 PM,False,2324,Accepted,
27868795,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,SOUTHLAND,BLVD,W,,3RD,,,,,38.171467687,-85.767983404,0.239,3/9/2021 12:00:00 AM,0045,2,2,0,0,CLEAR,DRY,True,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,3/10/2021 2:23:34 PM,False,5300,Accepted,
27868796,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,1462,CHEROKEE,RD,,,,,BARINGER,US0060A,WILLOW,38.236305896,-85.707078787,1.241,3/9/2021 12:00:00 AM,0130,2,2,0,0,CLEAR,DRY,False,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),HEAD ON,CURVE & LEVEL,DARK-HWY LIGHTED/ON,,,3/10/2021 2:23:37 PM,False,2026,Accepted,
27868815,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,,,2ND,ST,N,US0031E,MAIN,,,,,38.256273481,-85.753309330,,3/9/2021 12:00:00 AM,1355,2,2,0,0,CLEAR,DRY,False,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2021 2:24:33 PM,False,5105,Accepted,
27868823,0568000,LOUISVILLE METRO POLICE DEPT,Accepted,JEFFERSON,KY1931,,MANSLICK,RD,,,,,,,,38.168197039,-85.797215357,6.440,3/9/2021 12:00:00 AM,0907,2,2,0,0,CLEAR,DRY,False,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,3/10/2021 2:25:05 PM,False,7174,Accepted,
